"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"P4";"Pin_Header_Straight_1x05_Pitch2.54mm_SMD_BySide";1;"ISP Bottom";;;
2;"P5";"Pin_Header_Straight_1x05_Pitch2.54mm_SMD_BySide";1;"ISP Top";;;
3;"IC1";"TQFP-32_7x7mm_Pitch0.8mm";1;"ATMEGA328P-A";;;
4;"P1";"Pin_Header_Straight_1x04_Pitch2.54mm";1;"Contacts";;;
5;"P2";"Pin_Header_Straight_1x06_Pitch2.54mm";1;"Contacts";;;
6;"BT1";"AB2_20MM_COIN_CELL_SMD";1;"Battery";;;
7;"IC2";"CC1101_Module";1;"CC1101";;;
8;"SW1";"SW_SPST_FSMSM";1;"Reset";;;
9;"SW2";"SW_SPST_FSMSM";1;"Config";;;
10;"C1,C2,C3";"C_0805_HandSoldering";3;"100n";;;
11;"D1";"LED_1206";1;"LED Red";;;
12;"D2";"LED_1206";1;"LED Green";;;
13;"R1";"R_0805_HandSoldering";1;"10k";;;
14;"R2,R3";"R_0805_HandSoldering";2;"1k5";;;
15;"C4,C5";"C_0805_HandSoldering";2;"9p";;;
16;"Y1";"Crystal_SMD_MicroCrystal_CC7V-T1A-2pin_3.2x1.5mm_HandSoldering";1;"32kHz";;;
17;"REF**,REF**";"MountingHole_2.2mm_M2";2;"MountingHole_2.2mm_M2";;;
18;"P3";"Pin_Header_Straight_1x01_Pitch2.00mm";1;"ANT";;;
19;"C6";"C_0805_HandSoldering";1;"10µ";;;
